#,Time,Title,_source_page,_wiki_api,biome_category,game,Name,Played in,col2,Location,Mark,Artist,Year,_ext_links
,,Above the Treetops,Bgm02,,sea_underwater,MapleStory,,,,Lith Harbor,Rith,CODASOUND,2003,['https://www.youtube.com/watch?v=F6LIFBVhObQ']
,,Beachway,Bgm03,,sea_underwater,MapleStory,,,,Florina Beach,Nautilus,CODASOUND,2003,['https://www.youtube.com/watch?v=9VqPnUL9Qvs']
,,Shining Sea,Bgm11,,sea_underwater,MapleStory,,,,Aqua Road east,AquaRoad,CODASOUND,2005,['https://www.youtube.com/watch?v=3jdRxzy3K9s']
,,Nautilus,Bgm15,,sea_underwater,MapleStory,,,,Nautilus Harbor,Nautilus,StudioEIM,2007,['https://www.youtube.com/watch?v=iZaVKkfuD6s']
,,Gold Beach,Bgm17,,sea_underwater,MapleStory,,,,Gold Beach,Goldrich,StudioEIM,2012,['https://www.youtube.com/watch?v=pyxpWEl3St0']
,,Contaminated Sea,Bgm49,,sea_underwater,MapleStory,,,,Esfera: Mirror-touched Sea,esfera,ASTERIA,2018,['https://www.youtube.com/watch?v=F_X8tsNGY-4']
,,Sinking Things,Bgm55,,sea_underwater,MapleStory,,,,Sellas: Sinking Deep Sea,Sellas,Initium SoundLab,2020,['https://www.youtube.com/watch?v=qeOWrkvyJaM']
,,Whale Belly,Bgm55,,sea_underwater,MapleStory,,,,Sellas: Star Swallowed Deep Sea,Sellas,Initium SoundLab,2020,['https://www.youtube.com/watch?v=sldMc60a1Ns']
,,An Occupied Coast,Bgm60,,sea_underwater,MapleStory,,,,Carcion: Calm Waterfront,carcion,ASTERIA,2023,['https://www.youtube.com/watch?v=Emtn0U3bro4']
,,Wind Flowing in the Harbor,Bgm61,,sea_underwater,MapleStory,,,,Vallora beach zone,Vallora,ASTERIA,2025,['https://www.youtube.com/watch?v=mKhyvIKVW18']
